iter	F1	Logloss
137	0.7960852286	0.6213834994
138	0.7961181043	0.6212023547
139	0.7961181043	0.6211485122
140	0.7960614854	0.6209680256
141	0.7960614854	0.6208570679
142	0.7960943652	0.6207822701
143	0.7960943652	0.6206460841
144	0.7961272479	0.6205292925
145	0.7961272479	0.6204399616
146	0.7961272479	0.6203329962
147	0.7961272479	0.6202010676
148	0.7961272479	0.6200855458
149	0.7961272479	0.6200568808
150	0.7961272479	0.6199226854
151	0.7961930212	0.6197249701
152	0.7961930212	0.6195841607
153	0.7961272479	0.6193775469
154	0.7961272479	0.6192858641
155	0.7961272479	0.6191010014
156	0.7961272479	0.6189490132
157	0.7961272479	0.6187716222
158	0.7961272479	0.6186044454
159	0.7961601332	0.618395233
160	0.7961601332	0.6181139503
161	0.7961601332	0.6180240118
162	0.796225912	0.6178371205
163	0.796225912	0.6177115073
164	0.796225912	0.6175294852
165	0.796225912	0.6174813185
166	0.796225912	0.617275507
167	0.7961930212	0.6172048658
168	0.7962917016	0.617035683
169	0.7963575022	0.616946455
170	0.7964562233	0.6167765428
171	0.7964562233	0.6167222284
172	0.7964562233	0.6165582065
173	0.796686668	0.616345761
174	0.7967195996	0.6162291494
175	0.7967525338	0.6160592423
176	0.7967525338	0.6159536873
177	0.7967525338	0.6158380719
178	0.7968184105	0.6157519228
179	0.7968184105	0.6156175577
180	0.7968842982	0.6154133209
181	0.796851353	0.6152596781
182	0.796917246	0.6151611036
183	0.7968842982	0.6150098821
184	0.796917246	0.6148971448
185	0.7969501967	0.6148180558
186	0.7969501967	0.6146147747
187	0.79698315	0.6144995122
188	0.796917246	0.6143343101
189	0.7968842982	0.6141560788
190	0.7968842982	0.6139104905
191	0.7970820264	0.6137186243
192	0.7971149906	0.6136014757
193	0.7971479576	0.6133969545
194	0.7972138997	0.6132522673
195	0.7972468749	0.6131288431
196	0.7974117916	0.6129923637
197	0.7974777774	0.6127622644
198	0.7975437741	0.6125518543
199	0.7975107744	0.6123740724
200	0.7975107744	0.6122007599
201	0.7974447831	0.6119907721
202	0.7977088136	0.6118090823
203	0.7977418297	0.6116278712
204	0.7977418297	0.6113766296
205	0.7977088136	0.6111644735
206	0.7976097817	0.6110443353
207	0.7976758003	0.6108160926
208	0.7977088136	0.6104992667
209	0.7978408945	0.6103135173
210	0.7977418297	0.6101338922
211	0.7978739215	0.6099387429
212	0.7978739215	0.6097728631
213	0.7979399838	0.6096618739
214	0.7979399838	0.6095477687
215	0.798006057	0.6094067346
216	0.7980721412	0.6091890694
217	0.7981051874	0.6090793284
218	0.7981382363	0.6089053119
219	0.7981382363	0.6087440807
220	0.7982043424	0.6085297974
221	0.7982704594	0.608320361
222	0.798303522	0.608205577
223	0.7983365874	0.6080695854
224	0.7984027263	0.6078223233
225	0.7983696555	0.6076169251
226	0.7985019553	0.6074147971
227	0.7984688762	0.6072678107
228	0.7985350371	0.6070610166
229	0.7985350371	0.6068749749
230	0.7985350371	0.6066932392
231	0.7985681216	0.6065349326
232	0.7987335855	0.6063940836
233	0.7987335855	0.6061972258
234	0.7988660059	0.6060304041
235	0.7988991179	0.6058694229
236	0.7988660059	0.6057789934
237	0.7989984702	0.6055529941
238	0.7989322326	0.6053624312
239	0.7991212028	0.605230399
240	0.7991212028	0.6049615829
241	0.7992537271	0.6047624232
242	0.7994194442	0.6045700537
243	0.7994292829	0.6044242019
244	0.7996515637	0.6042112873
245	0.7997842639	0.6040470543
246	0.7997842639	0.6038801586
247	0.7997510847	0.6036406603
248	0.7998174459	0.6034125003
249	0.799883818	0.603240626
250	0.799883818	0.603092754
251	0.799883818	0.6028042506
252	0.799883818	0.6027236583
253	0.7999170082	0.6025901149
254	0.7999170082	0.6023504543
255	0.8000497966	0.602104247
256	0.8001162073	0.6018967144
257	0.8002490618	0.6017829614
258	0.800215844	0.6016149115
259	0.800182629	0.601454495
260	0.800215844	0.6012481632
261	0.800182629	0.6011122917
262	0.8002490618	0.6009815105
263	0.8002822823	0.6008519038
264	0.8005149032	0.6006348241
265	0.8006146392	0.6004946839
266	0.8007809213	0.6003601257
267	0.8008474534	0.600165736
268	0.8008807236	0.5999937202
269	0.8009805509	0.5998091235
270	0.801080403	0.59969286
271	0.8011136926	0.59955966
272	0.8012135779	0.5993909779
273	0.801280182	0.5992034897
274	0.8012468786	0.5990583593
275	0.8013467971	0.5988681655
276	0.8011904918	0.5987173694
277	0.8012237967	0.5985896446
278	0.8011904918	0.59839858
279	0.8012237967	0.5982674747
280	0.8011238902	0.5981290516
281	0.8012237967	0.5978397563
282	0.8012571044	0.5976183675
283	0.8013237282	0.5974175842
284	0.8013467971	0.5972970234
285	0.8013134882	0.597090973
286	0.8014134233	0.5967022067
287	0.8014800606	0.5965664737
288	0.8015133834	0.5963748757
289	0.8015800374	0.5962178246
290	0.8015800374	0.5960047118
291	0.801546709	0.5958091181
292	0.8017467207	0.5956245505
293	0.8017800657	0.5955437222
294	0.8017800657	0.5953462465
295	0.8018467639	0.595080339
296	0.8019134733	0.5948907185
297	0.8018801173	0.5947035922
298	0.8019801938	0.5945177094
299	0.8020469254	0.5943718269
